
MLP hyperparams: eta=0.04, dhid1=300, dhid2=200, dwin=5, pretrainedembed=yes
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
93.77807113377,93.916613525649,0.20354159781133,0.19690176366806,156.28764295578
95.091344986647,95.53089520153,0.1568508308703,0.14323045496012,209.71533703804
95.369780286477,95.890062739272,0.14266874786657,0.12447602926902,235.34279513359
95.720290118961,96.461575209332,0.13349118810129,0.10692203552705,227.05024194717
95.756706724933,96.589332789871,0.13148552021073,0.10189699234722,235.66304707527
96.049556931294,97.035826907105,0.12229401446422,0.088519931628312,225.32485795021
96.061695799951,97.186594000434,0.12196545868365,0.0831156398593,227.37068986893
96.186877882981,97.426988624535,0.11781446228799,0.075186254330388,216.39542603493
96.302197135227,97.66486315914,0.11664678974576,0.068240391779463,225.0913271904
96.145909201262,97.628814922436,0.12231630075388,0.068589057022552,200.44004297256
96.208879582423,97.843132098709,0.12118136812323,0.060876952911585,204.12169480324
96.316612041758,98.010553696533,0.11951572863994,0.056694110682325,222.70668196678
96.377306385045,98.218296726294,0.11902919191763,0.051237921462274,217.68837499619
96.24150279194,98.15847199304,0.12368964749769,0.052390919496113,213.05588984489
96.17929109007,98.228377084278,0.12997795979129,0.050727195957389,232.45977187157
96.246813546977,98.341781111601,0.13047374035148,0.046438981277497,208.61022591591
96.343165816946,98.640466501436,0.12560302167141,0.039025867325479,215.88036704063
96.265780529255,98.673556372211,0.13087219662726,0.0375210977184,219.53593397141
96.166393542122,98.599268516631,0.13689148576201,0.038924959517951,212.46120905876
96.255917698471,98.733819381899,0.13505504699629,0.035701568506208,205.15891504288
