
MLP eta=0.001: Valid Acc, Train Acc, Valid Loss, Train Loss, Time
68.086914299587,67.391795026877,1.1719376512187,1.1902221114986,110.83049893379
72.098810390872,71.451987912336,0.99605650378657,1.0095686454016,108.2102200985
73.967437484826,73.520543112157,0.91105211984216,0.92212962809296,109.10914301872
75.254916241806,74.90385310727,0.85474035287475,0.86330844259749,109.32856893539
76.323895362952,76.027155607857,0.81049952056113,0.81704822517493,108.74622893333
77.307902403496,77.112985473328,0.77224549149464,0.77712501694928,108.81169700623
78.253216800194,78.131649475274,0.73872977822076,0.74159149691167,109.03778004646
79.159838553047,79.141876655863,0.70777811276161,0.70898865321345,109.07663917542
79.992868414664,79.995967856806,0.67931564499711,0.67924594159069,109.15480780602
80.866108278708,80.931907181817,0.65328735565133,0.65163481396921,109.60079598427
81.611131342559,81.732199950475,0.62948696339387,0.62629275528215,109.20139217377
82.208970623938,82.359373527665,0.60748649851226,0.60303864242516,109.47928404808
82.834881039087,82.980520803887,0.5883977890296,0.58231940262786,109.20897102356
83.321953143967,83.609118779488,0.56973419612182,0.56208095452995,109.34548306465
83.852269968439,84.154992078153,0.55315544981835,0.54429730244839,109.33444404602
