
MLP hyperparams: eta=0.05, dhid=300, dwin=5, pretrainedembed=y
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
80.125637290605,80.066859070021,2.5449459990358,2.5456863261711,748.64602613449
79.590768390386,79.726866126272,2.7212621562262,2.7056250098211,955.44189786911
68.561088856519,68.850159861329,5.3229810583392,5.2335416045473,924.55451703072
65.599204904103,65.966520063199,6.3301682883897,6.2690059521133,936.02243494987
69.610342316096,69.567947091269,5.7160586701783,5.6748181913464,935.69809985161
64.543882010197,65.065533283808,6.3955977001215,6.3479938880952,916.09356093407
67.331269725662,67.416338507187,5.904677697111,5.8197013827681,899.04879117012
70.546552561301,70.570504434262,6.6035145529468,6.603355452661,913.40458297729
75.591011167759,75.547571619848,4.3945148576069,4.3277028723468,924.29470896721
69.653587035688,69.879561635911,5.5257552321229,5.4414645664378,926.36324214935
75.757920611799,75.39077822555,4.6079360456295,4.6221143665402,909.42368793488
80.444282592862,80.361490402842,3.8410801965103,3.8086836531863,897.23932600021
76.604606700655,76.598120232374,4.1517073016322,4.1251861271029,918.23596310616
72.93259893178,72.953742113763,5.2077022115529,5.1357618241654,905.30845212936
79.847960670066,79.838188340532,4.3574730983416,4.3179712482983,934.8413939476
