
MLP hyperparams: eta=0.01, dhid1=300, dhid2=200, dwin=5, pretrainedembed=y
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
93.043669579995,93.212741572492,0.23296668890723,0.22635321976149,128.27727007866
94.790149308084,95.188820444719,0.17094606507945,0.15670569212731,125.69001698494
95.371297645059,95.919975105899,0.15030310149026,0.12998961989214,127.48819303513
95.575382374363,96.205731340929,0.13992529733703,0.11667439905181,126.10092997551
95.894786355912,96.71259803696,0.12897163169585,0.10072836197316,121.14940595627
96.061695799951,96.980384938192,0.12268715801101,0.091285233108813,119.82157516479
96.138322408352,97.225381464851,0.12104919195768,0.083754616540937,121.34888291359
96.12314882253,97.26482634392,0.12192581298754,0.081969132034307,125.89514112473
96.245296188395,97.510918561664,0.1175850329314,0.073715285105062,123.89595603943
96.409929594562,97.84225554584,0.10963747293479,0.063765571644915,123.10255503654
96.480486768633,97.963548548976,0.10882911017069,0.06061259749503,126.71413707733
96.487314882253,98.015922582851,0.10871773700265,0.05952152038979,125.4860060215
96.493384316582,98.084622413895,0.10875182430476,0.057357625708772,127.75989603996
96.507040543821,98.164279155792,0.10849506344124,0.055683929007224,129.92188692093
96.491108278708,98.16000596056,0.10887781052319,0.054894073488208,128.60988879204
