
MLP hyperparams: eta=0.04, dhid=300, dwin=5, pretrainedembed=yes
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
93.301620538966,93.498826514848,0.22282917589496,0.2184759088995,128.21698403358
94.794701383831,95.05591311608,0.17146341919019,0.16012190785528,122.29743885994
95.257495751396,95.897403869543,0.15227623428649,0.13190335448423,124.19969010353
95.835609371207,96.502115779486,0.13339616830057,0.11031283121292,128.49364900589
96.017692401068,96.850107268157,0.12455724936784,0.098281404979256,126.16224694252
96.147426559845,97.084913867724,0.12240992316406,0.090057368458123,127.31004285812
96.032107307599,97.152079731249,0.12445458958095,0.086882107672112,124.00663805008
96.251365622724,97.460955048178,0.11699132566284,0.076648998367403,126.11173200607
96.3044731731,97.676148777318,0.11494949230693,0.070663046839253,125.23108100891
96.266539208546,97.697295615263,0.11784550288307,0.068700098768136,122.81256985664
96.261228453508,97.66486315914,0.11797840661332,0.068334878188589,121.74228215218
96.228605243991,97.860991863398,0.12110462017542,0.062023254827502,125.17033100128
96.425103180384,98.101496056608,0.11520560127688,0.055868944717425,124.35983395576
96.287023549405,98.111905121918,0.12222895383752,0.055143371688828,124.08538103104
96.472141296431,98.370926494468,0.11778411962618,0.048532592930269,120.43125104904
