
MLP hyperparams: eta=0.01, dhid=300, dwin=5, pretrainedembed=no
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
88.487041757708,88.303935941516,0.39415258033622,0.3998802212238,131.90535497665
91.54376062151,91.57994271727,0.29139974178141,0.29043812334143,150.89464712143
93.042910900704,93.157737880013,0.23988233974002,0.23577583106888,123.35120105743
93.753034717164,94.012705633824,0.21087578862978,0.20340151762565,124.08816003799
94.411568341831,94.740354083531,0.18744782027244,0.1769109244057,142.84219193459
94.777251760136,95.204269689021,0.17308487191026,0.16010509564846,131.18180990219
94.978301772275,95.389441482426,0.16414337084659,0.15084128735976,121.90100193024
95.194525370235,95.722312434122,0.15647467211552,0.13994380004063,126.36210298538
95.445648215586,96.070084784576,0.14792429538406,0.12797398847829,134.33522605896
95.610281621753,96.286374204802,0.14061893732187,0.12038459149176,121.215239048
95.72635955329,96.491816283284,0.13697952542746,0.11392929007631,123.33412289619
95.852300315611,96.657375206264,0.13178370082745,0.10783032037394,669.61295890808
95.937272396213,96.735936257075,0.1289309009571,0.10323540064006,128.49937701225
96.026796552561,96.957156287185,0.12673953024852,0.097573215569081,128.76604890823
96.064730517116,97.011064288579,0.12326260822785,0.094371630289994,123.97918915749
