
MLP hyperparams: eta=0.01, dhid=300, dwin=5, pretrainedembed=no
Valid Acc, Train Acc, Valid Loss, Train Loss, Time
79.906378975479,79.986983189907,0.67182534532491,0.67501923719698,119.4647500515
84.9455268269,85.399916289201,0.50935973493717,0.49935151570788,118.98299598694
86.976511289148,87.778661635253,0.43585920522519,0.4138369177134,122.11311411858
88.381585336247,89.388560546794,0.39106005197798,0.35984130866807,121.70928883553
89.198682932751,90.391556166221,0.36259673204252,0.32399287772654,119.97357702255
89.623543335761,91.130818941431,0.34619903041002,0.2991361504186,287.01560211182
90.238832240835,91.848496602262,0.32825919870614,0.27531279942121,122.03608393669
90.592376790483,92.309453841822,0.31819952117497,0.25898170118713,120.13250994682
90.7782532168,92.686481144252,0.30726173356226,0.24450743572183,119.86388897896
91.021030589949,93.048278340598,0.30187107561268,0.23238995664333,120.28867912292
91.200837581937,93.302807379699,0.29762603507674,0.2235800707819,119.67741203308
91.374575139597,93.656715600231,0.29097808054969,0.21228483338898,401.57671999931
91.543001942219,93.860404572976,0.28688414524321,0.20459276847579,119.63869786263
91.68259893178,94.06573708235,0.28299808388723,0.19731799564074,119.94905304909
91.802470259772,94.288052803545,0.27944040660011,0.19026901022382,120.5365819931
